Sample description: 
Sample:   c= .6900 mg/ml  Code: P1_3_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_3_P1_Buffer_0019_sub.dat
  1.354830e+00   1.042362e-03   3.535717e-04
  1.357590e+00   6.815072e-04   3.542325e-04
  1.360340e+00   8.057681e-04   3.557848e-04
  1.363090e+00   6.769565e-04   3.536962e-04
  1.365840e+00   3.611594e-05   3.560391e-04
  1.368600e+00   5.079565e-04   3.615777e-04
  1.371350e+00   1.219913e-03   3.652016e-04
  1.374100e+00   5.212174e-04   3.671555e-04
  1.376850e+00   1.116783e-03   3.675049e-04
  1.379610e+00   5.786667e-04   3.687574e-04
  1.382360e+00   1.075188e-03   3.729888e-04
  1.385110e+00   7.661449e-04   3.745561e-04
  1.387860e+00   1.058580e-03   3.756549e-04
  1.390620e+00   1.509493e-03   3.734310e-04
  1.393370e+00   4.906957e-04   3.765520e-04
  1.396120e+00   1.786855e-03   3.790493e-04
  1.398870e+00   8.908551e-04   3.764626e-04
  1.401630e+00   1.268478e-03   3.786281e-04
  1.404380e+00  -2.925652e-04   3.784175e-04
  1.407130e+00   8.374203e-04   3.834493e-04
  1.409880e+00   1.128464e-03   3.807888e-04
  1.412640e+00   7.323623e-04   3.824680e-04
  1.415390e+00   7.411304e-04   3.820996e-04
  1.418140e+00   1.409710e-04   3.860709e-04
  1.420890e+00   7.541159e-04   3.833586e-04
  1.423650e+00   2.832754e-04   3.841568e-04
  1.426400e+00   5.223333e-04   3.828348e-04
  1.429150e+00   1.142145e-03   3.754848e-04
  1.431900e+00   6.961884e-04   3.754999e-04
  1.434660e+00   5.556957e-04   3.695333e-04
  1.437410e+00   6.400000e-04   3.685959e-04
  1.440160e+00   7.033768e-04   3.670051e-04
  1.442910e+00   4.599565e-04   3.642168e-04
  1.445670e+00   1.038217e-03   3.646275e-04
  1.448420e+00   8.415362e-04   3.621158e-04
  1.451170e+00   4.552174e-04   3.619407e-04
  1.453920e+00   7.558696e-04   3.607143e-04
  1.456680e+00   6.975652e-04   3.588054e-04
  1.459430e+00   9.147826e-04   3.585791e-04
  1.462180e+00   8.006667e-04   3.602217e-04
  1.464930e+00   4.078261e-04   3.593962e-04
  1.467690e+00   9.566957e-04   3.574459e-04
  1.470440e+00   9.991014e-04   3.538220e-04
  1.473190e+00   9.703043e-04   3.554033e-04
  1.475940e+00   5.924783e-04   3.554977e-04
  1.478700e+00   1.313275e-03   3.555210e-04
  1.481450e+00  -1.572319e-04   3.519009e-04
  1.484200e+00   1.051377e-03   3.536664e-04
  1.486950e+00   3.103478e-04   3.539004e-04
  1.489710e+00   4.331594e-04   3.513884e-04
  1.492460e+00   2.764058e-04   3.513552e-04
  1.495210e+00   9.212319e-04   3.504758e-04
  1.497960e+00   1.059638e-03   3.538525e-04
  1.500720e+00   3.887391e-04   3.499964e-04
