  1.297030e+00   3.433050e-02   2.057495e-04
  1.299780e+00   3.389037e-02   2.036280e-04
  1.302540e+00   3.424453e-02   2.044756e-04
  1.305290e+00   3.398907e-02   2.047205e-04
  1.308040e+00   3.410709e-02   2.031377e-04
  1.310790e+00   3.392620e-02   2.035240e-04
  1.313550e+00   3.399291e-02   2.031506e-04
  1.316300e+00   3.409489e-02   2.033104e-04
  1.319050e+00   3.406635e-02   2.030176e-04
  1.321800e+00   3.435859e-02   2.023411e-04
  1.324560e+00   3.434285e-02   2.051285e-04
  1.327310e+00   3.399640e-02   2.026654e-04
  1.330060e+00   3.415358e-02   2.023621e-04
  1.332810e+00   3.433387e-02   2.019889e-04
  1.335570e+00   3.395558e-02   2.012844e-04
  1.338320e+00   3.416751e-02   2.028939e-04
  1.341070e+00   3.404420e-02   2.012026e-04
  1.343820e+00   3.449752e-02   2.017093e-04
  1.346580e+00   3.404266e-02   2.009935e-04
  1.349330e+00   3.407390e-02   2.008771e-04
  1.352080e+00   3.428711e-02   2.016441e-04
  1.354830e+00   3.408060e-02   1.997434e-04
  1.357590e+00   3.398686e-02   1.998713e-04
  1.360340e+00   3.403476e-02   2.008314e-04
  1.363090e+00   3.413472e-02   1.995642e-04
  1.365840e+00   3.399833e-02   2.004490e-04
  1.368600e+00   3.400270e-02   2.038948e-04
  1.371350e+00   3.433766e-02   2.064311e-04
  1.374100e+00   3.390093e-02   2.070525e-04
  1.376850e+00   3.400491e-02   2.076683e-04
  1.379610e+00   3.396236e-02   2.079949e-04
  1.382360e+00   3.437440e-02   2.107279e-04
  1.385110e+00   3.410437e-02   2.113972e-04
  1.387860e+00   3.429377e-02   2.122249e-04
  1.390620e+00   3.435245e-02   2.112892e-04
  1.393370e+00   3.398882e-02   2.123270e-04
  1.396120e+00   3.444969e-02   2.146664e-04
  1.398870e+00   3.385729e-02   2.125698e-04
  1.401630e+00   3.430701e-02   2.140560e-04
  1.404380e+00   3.349061e-02   2.128078e-04
  1.407130e+00   3.419352e-02   2.164673e-04
  1.409880e+00   3.402865e-02   2.151822e-04
  1.412640e+00   3.407560e-02   2.158376e-04
  1.415390e+00   3.398553e-02   2.156394e-04
  1.418140e+00   3.362808e-02   2.174361e-04
  1.420890e+00   3.402331e-02   2.163587e-04
  1.423650e+00   3.386721e-02   2.164631e-04
  1.426400e+00   3.395744e-02   2.158919e-04
  1.429150e+00   3.417859e-02   2.121917e-04
  1.431900e+00   3.389833e-02   2.118817e-04
  1.434660e+00   3.394986e-02   2.084153e-04
