Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: P1_4_P1_Buffer
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_4_P1_Buffer_0022.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat
 9.364510e-001  3.018625e-003  2.248885e-004
 9.392030e-001  3.087272e-003  2.263955e-004
 9.419560e-001  2.982647e-003  2.243532e-004
 9.447080e-001  3.028684e-003  2.238316e-004
 9.474610e-001  2.899515e-003  2.209368e-004
 9.502130e-001  2.786676e-003  2.221930e-004
 9.529660e-001  2.506868e-003  2.224698e-004
 9.557180e-001  2.608074e-003  2.217085e-004
 9.584710e-001  2.509713e-003  2.193018e-004
 9.612230e-001  2.470801e-003  2.202659e-004
 9.639760e-001  2.188294e-003  2.191932e-004
 9.667280e-001  2.465676e-003  2.211329e-004
 9.694810e-001  2.135360e-003  2.166465e-004
 9.722330e-001  2.123721e-003  2.174605e-004
 9.749860e-001  2.734096e-003  2.189343e-004
 9.777380e-001  2.481779e-003  2.151101e-004
 9.804910e-001  2.355022e-003  2.156494e-004
 9.832430e-001  2.233272e-003  2.138576e-004
 9.859960e-001  2.282478e-003  2.160974e-004
 9.887490e-001  2.316735e-003  2.153231e-004
 9.915010e-001  2.070103e-003  2.132588e-004
 9.942540e-001  2.276059e-003  2.145566e-004
 9.970060e-001  2.237221e-003  2.141407e-004
 9.997590e-001  2.495419e-003  2.146754e-004
 1.002510e+000  2.174669e-003  2.150625e-004
 1.005260e+000  2.203676e-003  2.119338e-004
 1.008020e+000  2.161618e-003  2.116154e-004
 1.010770e+000  2.000000e-003  2.104474e-004
 1.013520e+000  1.952162e-003  2.124546e-004
 1.016270e+000  1.732882e-003  2.107794e-004
 1.019030e+000  2.184574e-003  2.111223e-004
 1.021780e+000  1.782404e-003  2.107076e-004
 1.024530e+000  2.240551e-003  2.114281e-004
 1.027280e+000  2.035868e-003  2.097125e-004
 1.030040e+000  1.806074e-003  2.089703e-004
 1.032790e+000  1.702463e-003  2.105621e-004
 1.035540e+000  1.997846e-003  2.091410e-004
 1.038290e+000  2.156110e-003  2.081709e-004
 1.041050e+000  1.565603e-003  2.072711e-004
 1.043800e+000  1.752713e-003  2.090000e-004
 1.046550e+000  1.783184e-003  2.073879e-004
 1.049300e+000  2.016640e-003  2.080018e-004
 1.052060e+000  1.617551e-003  2.070729e-004
 1.054810e+000  1.712051e-003  2.064457e-004
 1.057560e+000  1.970169e-003  2.078915e-004
 1.060310e+000  1.571250e-003  2.060429e-004
 1.063070e+000  1.390316e-003  2.049475e-004
 1.065820e+000  1.642669e-003  2.061484e-004
 1.068570e+000  1.691559e-003  2.054226e-004
 1.071320e+000  1.886324e-003  2.047071e-004
 1.074080e+000  1.485301e-003  2.055210e-004
 1.076830e+000  1.628904e-003  2.043415e-004
 1.079580e+000  1.642515e-003  2.053662e-004
 1.082330e+000  1.831463e-003  2.029306e-004
 1.085090e+000  1.383463e-003  2.026395e-004
 1.087840e+000  1.650015e-003  2.034308e-004
 1.090590e+000  1.406596e-003  2.022207e-004
 1.093340e+000  1.641287e-003  2.029993e-004
 1.096100e+000  1.450493e-003  2.012659e-004
 1.098850e+000  1.590956e-003  2.021607e-004
 1.101600e+000  1.626809e-003  2.019512e-004
 1.104350e+000  1.509809e-003  2.018652e-004
 1.107110e+000  1.435243e-003  1.994996e-004
 1.109860e+000  1.393029e-003  2.008486e-004
 1.112610e+000  1.219206e-003  2.012814e-004
 1.115360e+000  1.386081e-003  2.008321e-004
 1.118120e+000  1.177331e-003  1.989557e-004
 1.120870e+000  1.254963e-003  1.981282e-004
 1.123620e+000  1.248721e-003  1.989575e-004
 1.126370e+000  1.385154e-003  1.997243e-004
 1.129130e+000  1.974007e-003  2.004910e-004
 1.131880e+000  1.393375e-003  1.993203e-004
 1.134630e+000  1.233441e-003  1.970181e-004
 1.137380e+000  1.679382e-003  1.990580e-004
 1.140140e+000  1.228463e-003  1.978898e-004
 1.142890e+000  1.334360e-003  1.964079e-004
 1.145640e+000  1.303132e-003  1.969478e-004
 1.148390e+000  1.429787e-003  1.977429e-004
 1.151150e+000  9.811176e-004  1.962759e-004
 1.153900e+000  1.368390e-003  1.965584e-004
 1.156650e+000  9.017721e-004  1.936160e-004
 1.159400e+000  1.173412e-003  1.965458e-004
 1.162160e+000  1.003875e-003  1.956013e-004
 1.164910e+000  1.241382e-003  1.946654e-004
 1.167660e+000  1.363735e-003  1.946268e-004
 1.170410e+000  1.024809e-003  1.937092e-004
 1.173170e+000  1.056331e-003  1.955569e-004
 1.175920e+000  1.407904e-003  1.949662e-004
 1.178670e+000  1.221721e-003  1.941292e-004
 1.181420e+000  1.053949e-003  1.940261e-004
 1.184180e+000  1.084118e-003  1.928164e-004
 1.186930e+000  1.435963e-003  1.933477e-004
 1.189680e+000  9.675735e-004  1.928909e-004
 1.192430e+000  8.446176e-004  1.916865e-004
 1.195190e+000  1.304272e-003  1.930510e-004
 1.197940e+000  1.038066e-003  1.921587e-004
 1.200690e+000  1.157066e-003  1.913851e-004
 1.203440e+000  1.049096e-003  1.898542e-004
 1.206200e+000  1.223838e-003  1.908082e-004
 1.208950e+000  1.124228e-003  1.911259e-004
 1.211700e+000  1.150779e-003  1.904560e-004
 1.214450e+000  1.202257e-003  1.893652e-004
 1.217210e+000  1.020824e-003  1.894874e-004
 1.219960e+000  1.284750e-003  1.892413e-004
 1.222710e+000  1.137441e-003  1.893613e-004
 1.225470e+000  1.154265e-003  1.890128e-004
 1.228220e+000  1.249059e-003  1.887601e-004
 1.230970e+000  9.432941e-004  1.896630e-004
 1.233720e+000  1.515654e-003  1.888568e-004
 1.236480e+000  8.336618e-004  1.876761e-004
 1.239230e+000  1.129500e-003  1.885485e-004
 1.241980e+000  1.219140e-003  1.887767e-004
 1.244730e+000  1.168390e-003  1.897299e-004
 1.247490e+000  7.957206e-004  1.876321e-004
 1.250240e+000  1.365103e-003  1.879943e-004
 1.252990e+000  1.055978e-003  1.885711e-004
 1.255740e+000  7.921912e-004  1.884516e-004
 1.258500e+000  1.058647e-003  1.881320e-004
 1.261250e+000  7.777941e-004  1.872256e-004
 1.264000e+000  8.501985e-004  1.876516e-004
 1.266750e+000  1.094037e-003  1.874381e-004
 1.269510e+000  6.340294e-004  1.858475e-004
 1.272260e+000  1.202103e-003  1.869235e-004
 1.275010e+000  1.148169e-003  1.866150e-004
 1.277760e+000  1.309081e-003  1.878923e-004
 1.280520e+000  1.356735e-003  1.869215e-004
 1.283270e+000  1.176978e-003  1.864129e-004
 1.286020e+000  8.604412e-004  1.857923e-004
 1.288770e+000  1.074993e-003  1.857828e-004
 1.291530e+000  9.622132e-004  1.859309e-004
